Дашборд: Tаблица 3-1-1-1-1-1-5
;СУДАК;;ЩУКА;;ГОЛАВЛЬ;;ОКУНЬ;;ЖЕРЕХ;;ПЛОТВА;;КРАСНОПЁРКА;;УКЛЕЙКА;;ЁРШ;;ПЕСКАРЬ;
;169;;194;;27;;2088;;2;;73;;12;;13;;100;;1;
;3600 гр.;;2455 гр.;;1280 гр.;;950 гр.;;910 гр.;;350 гр.;;200 гр.;;65 гр.;;55 гр.;;35 гр.;

Дашборд: Tаблица 1-1
2 679
Общий улов шт.

Дашборд: Средний улов за выезд шт.
6

Дашборд: Максимальный улов шт.
90

Дашборд: Рыбалок
456

Дашборд: Tаблица 1-2
1
2
3
4
5
6
7
8
9
10

Данные: Справочник
Bet-A-Shiner 82SP-SR (12.7г) 0.4м #712;Pontoon 21;Воблеры;Шэды;
Bet-A-Shiner 82SP-SR (12.7г) 0.4м #A11;Pontoon 21;Воблеры;Шэды;
Cablista 105SP-SMR (13.2г) 1.8м #081;Pontoon 21;Воблеры;Минноу;
Hypnose 38F-SR (3.7г) 0.3м #R47;Pontoon 21;Воблеры;Крэнки;
Hypnose 38F-SSR (3.8г) 0.3м #070;Pontoon 21;Воблеры;Крэнки;
Cheeky 80F-SR (8.6г) 1.2м #R60;Pontoon 21;Воблеры;Шэды;
Gaga Goon 45SS-MR (3.1г) 1.2м #304;Pontoon 21;Воблеры;Минноу;
Greedy Guts 55SP-SR (4г) 1м #470;Pontoon 21;Воблеры;Минноу;
Kalikana 82SP-SR (12.1г) 0.5м #A63;Pontoon 21;Воблеры;Шэды;
Awaruna 3 #104;Pontoon 21;Силиконовые приманки;Виброхвосты;
Awaruna 3.5 #438;Pontoon 21;Силиконовые приманки;Виброхвосты;
Aji Ringer 1.2 #567;Reins;Силиконовые приманки;Слаги;
Rockvibe Shad 1.2 #129;Reins;Силиконовые приманки;Виброхвосты;
Bass 3.5 #L089;Relax;Силиконовые приманки;Виброхвосты;
Bass 3.5 #L142;Relax;Силиконовые приманки;Виброхвосты;
Bass 3.5 #L265;Relax;Силиконовые приманки;Виброхвосты;
Bass 3.5 #L320;Relax;Силиконовые приманки;Виброхвосты;
Kalifornia 3 #L037;Relax;Силиконовые приманки;Виброхвосты;
King Shad 3 #L017;Relax;Силиконовые приманки;Виброхвосты;
King Shad 4 #TS001;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 1 #L049;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 1 #S006;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 1 #S055;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 1 #S060;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 1 #S123;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 1 #S196;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 1 #S221;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 1 #TS001;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 2 #S067;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 2 #S091;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 2 #S298;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 2.5 #TS001;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 3 #L417;Relax;Силиконовые приманки;Виброхвосты;
Kopyto 3 #S225;Relax;Силиконовые приманки;Виброхвосты;
Ohio 4 #S471;Relax;Силиконовые приманки;Виброхвосты;
Twister 1 #S048;Relax;Силиконовые приманки;Твистеры;
Twister 1 #TS001;Relax;Силиконовые приманки;Твистеры;
Twister 1 #TS011;Relax;Силиконовые приманки;Твистеры;
Twister 2 #S045;Relax;Силиконовые приманки;Твистеры;
Twister 2 #S122;Relax;Силиконовые приманки;Твистеры;
Twister 2 #S048;Relax;Силиконовые приманки;Твистеры;
Twister 2 #S208;Relax;Силиконовые приманки;Твистеры;
Twister 2 #S212;Relax;Силиконовые приманки;Твистеры;
Twister 2 #S275;Relax;Силиконовые приманки;Твистеры;
Twister 2 #TS001;Relax;Силиконовые приманки;Твистеры;
Twister 2 #TS025;Relax;Силиконовые приманки;Твистеры;
Executor 70SR (8г) 2м #D;Salmo;Воблеры;Крэнки;
Hornet 40F (3г) 1.5м #SW;Salmo;Воблеры;Крэнки;
Minnow 60S (6г) 1.5м #GS;Salmo;Воблеры;Минноу;
One’up Shad 3.5 #012;Sawamura;Силиконовые приманки;Виброхвосты;
One’up Shad 3 #021;Sawamura;Силиконовые приманки;Виброхвосты;
Camion Super SR42F (5.2г) 0.5м #03;Smith;Воблеры;Крэнки;
Baby Crank 35FSR (3.1г) 1м #518;Tsuribito;Воблеры;Крэнки;
Dead Minnow 70SS (5.1г) 1.2м #009;Tsuribito;Воблеры;Минноу;
Dead Minnow 90SP (11.5г) 1м #050;Tsuribito;Воблеры;Минноу;
Kasikomi 2.2 #D007;Tsuribito;Силиконовые приманки;Слаги;
Chanse 130SP (22г) 0.8м #162G;TsuYoki;Воблеры;Минноу;
Chef SSR38F (4.2г) 0.3м #L101;TsuYoki;Воблеры;Крэнки;
Draga 100SP (17.3г) 1.2м #167;TsuYoki;Воблеры;Минноу;
Flirt 115SP (16.5г) 1.4м #050;TsuYoki;Воблеры;Минноу;
Got 90SP (7г) 0.8м #403;TsuYoki;Воблеры;Минноу;
Magnat 115SP (15г) 1.2м #HU;TsuYoki;Воблеры;Минноу;
Mover 78SP (7.5г) 1.2м #020;TsuYoki;Воблеры;Минноу;
Plug SSR38F (5г) 0.4м #014R;TsuYoki;Воблеры;Крэнки;
Swing XC36F (4г) 0.8м #167;TsuYoki;Воблеры;Крэнки;
Swing XC36F (4г) 0.8м #291;TsuYoki;Воблеры;Крэнки;
Swing XD36F (4.2г) 1.3м #013;TsuYoki;Воблеры;Крэнки;
Swing XL35F (4.2г) 0.8м #829;TsuYoki;Воблеры;Крэнки;
Watson 80SP (8.5г) 1.5м #013W;TsuYoki;Воблеры;Минноу;
Watson 80SP (8.5г) 1.5м #WR009;TsuYoki;Воблеры;Минноу;
Wabler W40 57мм (7г) #GN;Williams;Блёсны;Колеблющиеся блёсны;
Wabler W40 57мм (7г) #H;Williams;Блёсны;Колеблющиеся блёсны;
Wabler W40 57мм (7г) #S;Williams;Блёсны;Колеблющиеся блёсны;
3DS Shad SR F957 65SP (6г) 1м #HHAY;Yo-Zuri;Воблеры;Шэды;
Eba Popper F414 50F (4г) #SHKS;Yo-Zuri;Воблеры;Попперы;
L-Minnow F199 44S (5г) #M100;Yo-Zuri;Воблеры;Минноу;
L-Minnow F199 44S (5г) #M99;Yo-Zuri;Воблеры;Минноу;
L-Minnow Heavy Weight F953 44S (9г) #HRIW;Yo-Zuri;Воблеры;Минноу;
L-Minnow Heavy Weight F953 44S (9г) #KVP;Yo-Zuri;Воблеры;Минноу;
Pins Minnow F197 70F (4г) 0.6м #CKCB;Yo-Zuri;Воблеры;Минноу;
Orbit Slider 65SP (5.2г) 0.8м #313R;ZipBaits;Воблеры;Минноу;

Данные: Данные
;Дата;Водоём;Условия;Вид;Тип;Бренд;Серия;Рыба;Кол-во;Вес;;Место ловли
1998;;;;;;;;;;;;
;04.04.98;р.Свапа;С берега;Блёсны;Вращающиеся блёсны;Mepps;Comet PTS №3 (6.5г) #Silver/BlueDots;Щука;1;1 000 гр.;1998;Виры
2002;;;;;;;;;;;;
